month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202106,20737,"riverdale, md",,464900,0.0331,-0.0512,15,0.3636,0,20.5,-0.430555556,-0.831967213,16,1,3,0,,,4,,0,19,0.2667,2.8,336.2874261,0.0146,0.421,1506,-0.0576,-0.1419,466302.75,0.0366,-0.0133,34,0.3077,0.7,1.266666667,-0.097,0.9333
202106,91602,"north hollywood, ca",,1250000,0,0.2259,35,-0.125,-0.3966,50.5,-0.2109375,0.328947368,20,-0.2857,-0.5,0,,,0,-1,-1,53,-0.0702,0.6061,652.34108,0.0071,0.1721,1854.5,-0.0553,0.0782,1727945.902,-0.1011,0.0998,88,-0.0928,-0.033,1.514285714,0.0893,0.9453
202106,33016,"hialeah, fl",,249000,0,0.044,55,-0.0678,-0.3373,63,-0.015625,-0.217391304,28,-0.2222,0,4,0,,8,0,0,92,-0.0707,0.3731,231.4311883,0.0389,0.0686,1097.5,0.0023,-0.0045,375366.311,-0.0669,-0.018,147,-0.0696,-0.02,1.672727273,-0.0052,0.8655
202106,63011,"ballwin, mo",,394000,0.0507,-0.0186,55,0.4474,-0.4022,37,-0.244897959,-0.584269663,52,0.1818,0.0833,0,-1,,12,0.5,-0.625,98,0.1395,0.0103,179.0536158,0.0074,0.1125,2170,0.0074,-0.1349,412669.7852,0.0082,-0.0813,153,0.2339,-0.1905,1.781818182,-0.4813,0.7275
202106,74037,"jenks, ok",*,399999.5,-0.0359,0.0597,36,0,,50,0.19047619,-0.065420561,36,0.125,-0.1818,0,,,4,-0.6667,-0.875,89,0,-0.0111,138.9070919,-0.0209,0.0787,2741,-0.0284,-0.0587,459314.924,-0.1808,0.0561,125,0,-0.3781,2.472222222,0,1.6614
202106,80526,"fort collins, co",,434500,-0.0114,-0.0125,50,0.2195,-0.4253,26,-0.103448276,-0.306666667,76,0.2667,0.3571,0,-1,,4,0,-0.9,101,0.1222,-0.0381,235.7197013,0.0541,0.2326,2069,-0.0421,-0.1473,674807.782,-0.0623,0.2526,151,0.1527,-0.2135,2.02,-0.1751,0.8131
202106,92651,"laguna beach, ca",*,3922500,0.0601,,115,-0.1154,,64.5,-0.007692308,,44,0,-0.1538,0,,,16,0,-0.6923,72,-0.027,0.2203,1503.887862,0.0546,0.2908,2765.5,-0.0095,0.1288,6897353.047,0.0347,0.5233,187,-0.0833,-0.3529,0.626086957,0.0569,0.3696
202106,22312,"alexandria, va",,499900,-0.0002,-0.1305,40,0.1111,0.6,24,0.090909091,0.021276596,48,0.3333,0.7143,0,,,24,1,2,46,0.2105,2.0667,268.0457838,0.0248,0.1047,1307,-0.1169,-0.4415,488127.4038,-0.0657,-0.1846,86,0.1622,1.15,1.15,0.0944,0.55
202106,74055,"owasso, ok",*,334950,-0.0291,,39,-0.093,,41.5,0.064102564,,56,-0.0667,-0.0667,0,,,8,1,-0.8,170,0.0366,0.0494,133.4497633,0.0255,0.0728,2660,0.0721,0.044,496424.9322,0.0725,0.2954,209,0.0097,-0.3056,4.358974359,0.545,3.1935
202106,78573,"mission, tx",*,320500,0.0719,,65,-0.0714,,63.5,-0.0078125,,16,-0.3333,0,4,,,8,0,-0.6667,0,,,131.8091275,-0.0033,0.1057,2382,0.0076,-0.0177,516689.0373,0.0157,0.35,65,-0.0714,-0.3981,0,0,0
